"Date_Time","Low_Range","Full_Range","Temp_C","station"
2023-05-26 01:11:40,101.4,102.5,18.7,3
2023-05-26 01:11:45,101.4,102.5,18.7,3
2023-05-26 01:11:50,101.4,102.1,18.7,3
2023-05-26 01:11:55,101.4,102.5,18.7,3
2023-05-26 01:12:00,101.4,102.1,18.7,3
2023-05-26 01:12:05,101.4,102.5,18.7,3
2023-05-26 01:12:10,101.4,102.5,18.7,3
2023-05-26 01:12:15,101.4,102.1,18.7,3
2023-05-26 01:12:20,101.4,102.5,18.7,3
2023-05-26 01:12:25,101.4,102.5,18.7,3
2023-05-26 01:12:30,101.4,102.5,18.7,3
2023-05-26 01:12:35,101.4,102.1,18.7,3
2023-05-26 01:12:40,101.4,102.5,18.7,3
2023-05-26 01:12:45,101.4,102.5,18.7,3
2023-05-26 01:12:50,101.4,102.5,18.7,3
2023-05-26 01:12:55,101.4,102.5,18.69,3
2023-05-26 01:13:00,101.4,102.5,18.72,3
2023-05-26 01:13:05,101.4,102.5,18.7,3
2023-05-26 01:13:10,101.4,102.5,18.7,3
2023-05-26 01:13:15,101.4,102.5,18.7,3
2023-05-26 01:13:20,101.4,102.5,18.7,3
2023-05-26 01:13:25,101.4,102.5,18.7,3
2023-05-26 01:13:30,101.4,102.5,18.7,3
2023-05-26 01:13:35,101.4,102.5,18.7,3
2023-05-26 01:13:40,101.4,102.5,18.7,3
2023-05-26 01:13:45,101.4,102.5,18.69,3
2023-05-26 01:13:50,101.4,102.5,18.69,3
2023-05-26 01:13:55,101.4,102.1,18.7,3
2023-05-26 01:14:00,101.4,102.5,18.69,3
2023-05-26 01:14:05,101.4,102.5,18.7,3
2023-05-26 01:14:10,101.4,102.5,18.69,3
2023-05-26 01:14:15,101.4,102.5,18.72,3
2023-05-26 01:14:20,101.4,102.5,18.69,3
2023-05-26 01:14:25,101.4,102.5,18.7,3
2023-05-26 01:14:30,101.4,102.5,18.7,3
2023-05-26 01:14:35,101.4,102.5,18.69,3
2023-05-26 01:14:40,101.4,102.5,18.7,3
2023-05-26 01:14:45,101.4,102.5,18.69,3
2023-05-26 01:14:50,101.4,102.5,18.7,3
